# kw-dict.tsv — generic bilingual FR<->EN + synonym/hypernym keyword dictionary (2026-07-05)
# EXAMPLE dictionary from the author's corpus — regenerate for your own corpus (see INSTALL.md).
# format: token<TAB>comma-separated additions (lowercase, unaccented; FTS strips diacritics anyway)
# corpus-derived from index.tsv keyword frequency; NEVER query-targeted.
workout	entrainement,musculation,exercice,gym,fitness
fitness	forme,sport,entrainement,musculation
weightlifting	musculation,halterophilie,strength,gym
gym	salle,musculation,entrainement,fitness
squat	musculation,exercice,workout,gym,jambes
deadlift	souleve,musculation,exercice,workout,gym
bench	developpe,musculation,exercice,workout
curl	biceps,musculation,exercice,workout
lunge	fente,musculation,exercice,workout
pullup	traction,musculation,exercice,workout
pushup	pompe,musculation,exercice,workout
plank	gainage,musculation,exercice,workout
cardio	endurance,course,entrainement,fitness
prs	records,progression,musculation,workout
hypertrophy	hypertrophie,musculation,muscle
protein	proteine,nutrition,alimentation
nutrition	alimentation,dietetique,sante
running	course,jogging,cardio,sport
climbing	escalade,grimpe,sport
hiking	randonnee,marche,sport
recipe	recette,cuisine,cooking,plat
cooking	cuisine,recette,culinaire
baking	patisserie,cuisine,four
bourguignon	recette,recipe,cuisine,boeuf,cooking
meal	repas,cuisine,nutrition
career	carriere,emploi,travail,professionnel
job	emploi,travail,poste,boulot
jobs	emplois,travail,postes
work	travail,boulot
sales	vente,ventes,commercial
business	entreprise,affaires,commerce
strategy	strategie,plan
management	gestion,direction,encadrement
customer	client,clientele
customers	clients,clientele
company	entreprise,societe,boite
consulting	conseil,consultant
interview	entretien,embauche
resume	cv,curriculum,candidature
salary	salaire,remuneration,paie
skills	competences,aptitudes
internship	stage,alternance
networking	reseau,contacts,relations
leadership	direction,encadrement,leader
marketing	mercatique,communication,publicite
negotiation	negociation
entrepreneur	entrepreneur,fondateur,createur
startup	entreprise,jeune-pousse,creation
finance	finances,argent,money
investing	investissement,bourse,placement,finance
stocks	actions,bourse,titres,investing
crypto	cryptomonnaie,bitcoin,blockchain
budget	budget,depenses,argent
money	argent,finance,finances
bank	banque,compte
banking	banque,bancaire
retirement	retraite,epargne
savings	epargne,economies
school	ecole,universite,etudes,scolaire
university	universite,fac,ecole
student	etudiant,eleve
course	cours,formation
courses	cours,formations
assignment	devoir,exercice,rendu
exam	examen,partiel,epreuve
degree	diplome,cursus
transcript	releve,bulletin,notes,academique
scholarship	bourse,financement,etudes
tuition	frais,scolarite,inscription
admission	admission,candidature,inscription
application	candidature,dossier,demande
essay	dissertation,redaction,essai
masters	master,bac5,diplome
alternance	apprenticeship,apprentissage,work-study
apprentissage	apprenticeship,alternance,work-study
housing	logement,appartement,habitation
lease	bail,location,contrat
rent	loyer,location
apartment	appartement,logement,studio
landlord	proprietaire,bailleur
guarantor	garant,caution
bail	lease,rental,housing,location
loyer	rent,rental,housing
garant	guarantor,caution
logement	housing,apartment,accommodation
tax	impot,impots,taxe,fiscal
taxes	impots,taxe,fiscal
taxe	tax,taxes,fiscal
impot	tax,taxes,fiscal
insurance	assurance,mutuelle
assurance	insurance,coverage
visa	visa,titre-sejour,immigration
passport	passeport,identite
citizenship	nationalite,citoyennete
residence	residence,domicile,sejour
health	sante,forme
doctor	medecin,docteur,sante
medicine	medicament,medecine,traitement
therapy	therapie,psychologie,soin
psychology	psychologie,mental,comportement
sleep	sommeil,repos,dormir
anxiety	anxiete,stress,angoisse
stress	stress,tension,anxiete
family	famille,proches
parents	famille,pere,mere
dad	pere,papa,father
papa	dad,father,pere
father	pere,papa,dad
mom	mere,maman,mother
mother	mere,maman,mom
brother	frere,fratrie
sister	soeur,fratrie
friend	ami,copain
friends	amis,copains
gift	cadeau,present
gifts	cadeaux,presents,cadeau
wedding	mariage,noces
birthday	anniversaire,fete
relationship	relation,couple,amour
relationships	relations,couple,amour
love	amour,sentiment,romance
breakup	rupture,separation,couple
writing	ecriture,redaction
poetry	poesie,poeme,vers
poem	poeme,poesie
book	livre,lecture,ouvrage
books	livres,lecture,ouvrages
reading	lecture,livre
letter	lettre,courrier
story	histoire,recit,fiction
idea	idee,concept,pensee
ideas	idees,concepts,pensees
philosophy	philosophie,pensee,reflexion
theory	theorie,concept,hypothese
consciousness	conscience,esprit,cognition
theology	theologie,religion,dieu
religion	religion,foi,spiritualite
journal	journal,diary,carnet
travel	voyage,vacances,deplacement
trip	voyage,sejour,deplacement
flight	vol,avion,billet
vacation	vacances,conges,voyage
voyage	travel,trip,vacation
car	voiture,auto,vehicule
voiture	car,vehicle,auto
shopping	achats,courses,magasin
wishlist	liste,souhaits,envies,cadeaux
list	liste
lists	listes,liste
goals	objectifs,buts,ambitions
code	programmation,developpement,coding
coding	programmation,code,developpement
software	logiciel,programme,application
computer	ordinateur,informatique
data	donnees,informations
research	recherche,etude,analyse
design	conception,graphisme
music	musique,son,chanson
game	jeu,gaming
games	jeux,gaming
movie	film,cinema
movies	films,cinema
anime	anime,manga,japonais
manga	manga,anime,bd,japonais
photography	photographie,photo,image
art	art,artistique,creation
project	projet,chantier
projects	projets,travaux
meeting	reunion,rendez-vous,entretien
notes	notes,carnet
question	question,interrogation
questions	questions,interrogations
travail	work,job,employment
entreprise	company,business,firm
conseil	consulting,advice,counsel
lettre	letter,mail,courrier
marche	market,marche
vente	sales,selling,sale
emploi	job,work,employment
ecole	school,education
etudiant	student,pupil
formation	training,education,course
recette	recipe,cooking,cuisine
cuisine	cooking,kitchen,recipe
sante	health,wellness
famille	family,relatives
argent	money,finance,cash
banque	bank,banking
france	france,francais,french
french	francais,france,frenchlanguage
francais	french,france
